time_days,delta_NO₃_alk,delta_NO₃_small_dt,delta_NH₄_alk,delta_NH₄_small_dt,delta_P_alk,delta_P_small_dt,delta_Z_alk,delta_Z_small_dt,delta_DOM_alk,delta_DOM_small_dt,delta_sPOM_alk,delta_sPOM_small_dt,delta_bPOM_alk,delta_bPOM_small_dt,delta_DIC_alk,delta_DIC_small_dt,delta_Alk_alk,delta_Alk_small_dt
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
1.0,2.384185791015625e-7,0.0,4.716217517852783e-6,0.0,2.086162567138672e-7,0.0,-1.434236764907837e-7,0.0,0.0002893913188017905,0.0,0.0002702681813389063,0.0,0.00027026835596188903,0.0,0.0,0.0,100.0,0.0
2.0,4.76837158203125e-7,0.0,1.8753111362457275e-5,0.0,7.897615432739258e-7,0.0,-5.494803190231323e-7,0.0,0.0005885412101633847,0.0,0.0005373702151700854,0.0,0.0005373715539462864,0.0,0.000244140625,0.0,100.0,0.0
3.0,2.1457672119140625e-6,0.0,4.193931818008423e-5,0.0,1.7136335372924805e-6,0.0,-1.1883676052093506e-6,0.0,0.0008978244150057435,0.0,0.0008030966855585575,0.0,0.0008031011093407869,0.0,0.00048828125,0.0,100.000244140625,0.0
4.0,5.4836273193359375e-6,0.0,7.413327693939209e-5,0.0,2.942979335784912e-6,0.0,-2.035871148109436e-6,0.0,0.0012178004253655672,0.0,0.001069368445314467,0.0,0.0010693783406168222,0.0,0.00048828125,0.0,100.00048828125,0.0
5.0,1.049041748046875e-5,0.0,0.00011518225073814392,0.0,4.462897777557373e-6,0.0,-3.0761584639549255e-6,0.0,0.0015492273960262537,0.0,0.0013382683973759413,0.0,0.00133828679099679,0.0,0.001220703125,0.0,100.00048828125,0.0
6.0,1.811981201171875e-5,0.0,0.00016492605209350586,0.0,6.295740604400635e-6,0.0,-4.295259714126587e-6,0.0,0.0018930785590782762,0.0,0.0016120794462040067,0.0,0.0016121095977723598,0.0,0.001708984375,0.0,100.0009765625,0.0
7.0,2.8848648071289062e-5,0.0,0.00022315792739391327,0.0,8.538365364074707e-6,0.0,-5.6871213018894196e-6,0.0,0.002250558929517865,0.0,0.0018933260580524802,0.0,0.0018933718092739582,0.0,0.001953125,0.0,100.0009765625,0.0
8.0,4.3392181396484375e-5,0.0,0.0002895258367061615,0.0,1.1466443538665771e-5,0.0,-7.2498805820941925e-6,0.0,0.00262311939150095,0.0,0.0021848210599273443,0.0,0.0021848867181688547,0.0,0.0029296875,0.0,100.00146484375,0.0
9.0,6.186962127685547e-5,0.0,0.00036327168345451355,0.0,1.583993434906006e-5,0.0,-8.985865861177444e-6,0.0,0.003012457862496376,0.0,0.0024897106923162937,0.0,0.002489800564944744,0.0,0.00341796875,0.0,100.001708984375,0.0
10.0,8.499622344970703e-5,0.0,0.0004424192011356354,0.0,2.3692846298217773e-5,0.0,-1.0901596397161484e-5,0.0,0.003420477267354727,0.0,0.0028115026652812958,0.0,0.00281162210740149,0.0,0.00439453125,0.0,100.001953125,0.0
11.0,0.00011289119720458984,0.0,0.000520654022693634,0.0,4.166364669799805e-5,0.0,-1.3006851077079773e-5,0.0,0.0038490938022732735,0.0,0.003154028905555606,0.0,0.003154183505102992,0.0,0.005126953125,0.0,100.00244140625,0.0
12.0,0.00014472007751464844,0.0,0.0005701305344700813,0.0,9.860098361968994e-5,0.0,-1.5301164239645004e-5,0.0,0.004299405962228775,0.0,0.0035211441572755575,0.0,0.0035213399678468704,0.0,0.005859375,0.0,100.0029296875,0.0
13.0,0.00017189979553222656,0.0,0.00040167238330468535,0.0,0.0003886371850967407,0.0,-1.7705373466014862e-5,0.0,0.0047668879851698875,0.0,0.003915085457265377,0.0,0.003915329929441214,0.0,0.005126953125,0.0,100.002685546875,0.0
14.0,0.00016367435455322266,0.0,4.750998050440103e-5,1.4551915228366852e-11,0.0009041875600814819,0.0,-1.9898172467947006e-5,0.0,0.005230977199971676,0.0,0.004328753333538771,0.0,0.0043290541507303715,0.0,0.002685546875,0.0,100.00244140625,0.0
15.0,0.00013649463653564453,0.0,3.4188091376563534e-5,7.275957614183426e-12,0.0011123120784759521,0.0,-2.2017862647771835e-5,0.0,0.005708605982363224,0.0,0.004750034771859646,0.0,0.004750399850308895,0.0,0.00244140625,0.0,100.002685546875,0.0
16.0,0.00010120868682861328,0.0,3.438653584453277e-5,0.0,0.0013275146484375,0.0,-2.4170149117708206e-5,0.0,0.006212462205439806,0.0,0.005179169122129679,0.0,0.005179607309401035,0.0,0.00244140625,0.0,100.0029296875,0.0
17.0,5.710124969482422e-5,0.0,3.4597309422679245e-5,0.0,0.0015645623207092285,0.0,-2.6349443942308426e-5,0.0,0.006743480451405048,0.0,0.005618935916572809,0.0,0.005619456060230732,0.0,0.00244140625,0.0,100.003662109375,0.0
